PROVIDER NAME,TOTAL_COST,UNIQUE_VISITS,UNIQUE_MEMBERS,TOTAL_CLAIMS,AVG_COST_PER_VISIT,RISK_SCORE
OMEGA OPTICIANS - ROYSAMBU,18300.0,3,3,3,6100.0,0.35773305084745766
OMEGA OPTICIANS - WARIS MALL,7650.0,1,1,1,7650.0,0.3047669491525424
OMEGA OPTICIANS - WESTLANDS,10725.0,3,3,3,3575.0,0.24650423728813559
OMEGA OPTICIANS LIMITED - RONGAI,37012.5,4,4,4,9253.125,0.4902542372881356
OMEGA OPTICIANS LTD - KISUMU JUBILEE HSE,51675.0,4,4,4,12918.75,0.5675847457627118
OMEGA OPTICIANS LTD-KAREN,80250.0,7,7,8,11464.285714285714,0.6145127118644068
OMEGA OPTICIANS YUNIS - MOMBASA,72862.5,8,8,8,9107.8125,0.5643008474576271
OMEGA OPTICIANS-TOM MBOYA BRANCH,16200.0,2,2,3,8100.0,0.40243644067796613
OPTICA LIMITED - BUNGOMA,42997.5,5,5,5,8599.5,0.5019067796610169
OPTICA LIMITED - BUSINESS BAY,20887.5,2,2,2,10443.75,0.45116525423728815
OPTICA LIMITED - CAPITAL CENTER,13837.5,1,1,1,13837.5,0.44565677966101697
OPTICA LIMITED - CORNER HOUSE,42612.5,5,5,5,8522.5,0.4976694915254237
OPTICA LIMITED - DIANI,24542.5,2,2,2,12271.25,0.47976694915254237
OPTICA LIMITED - DONHOLM,8280.0,2,2,2,4140.0,0.2350635593220339
OPTICA LIMITED - ELDORET,17137.5,3,2,4,5712.5,0.3425847457627119
OPTICA LIMITED - EMBAKASI,52837.5,6,6,6,8806.25,0.5231991525423729
OPTICA LIMITED - EMBU,19800.0,2,2,2,9900.0,0.4342161016949153
OPTICA LIMITED - GATEWAY MALL,17137.5,2,2,2,8568.75,0.39925847457627117
OPTICA LIMITED - HIGHLANDS MALL,16762.0,2,2,2,8381.0,0.3918432203389831
OPTICA LIMITED - IMARA DAIMA,15000.0,1,1,1,15000.0,0.46472457627118646
OPTICA LIMITED - KAKAMEGA,38400.0,3,3,3,12800.0,0.5304025423728813
OPTICA LIMITED - KAMAKIS,9937.5,1,1,1,9937.5,0.37891949152542376
OPTICA LIMITED - KAREN,31687.5,4,4,4,7921.875,0.4510593220338983
OPTICA LIMITED - KISUMU,74325.0,9,9,9,8258.333333333334,0.5552966101694915
OPTICA LIMITED - KITALE,15000.0,1,1,1,15000.0,0.46472457627118646
OPTICA LIMITED - LIKONI,25500.0,2,2,2,12750.0,0.4861228813559322
OPTICA LIMITED - MAIYAN MALL,12412.5,2,2,2,6206.25,0.3208686440677966
OPTICA LIMITED - MALINDI,5287.5,1,1,1,5287.5,0.23061440677966102
OPTICA LIMITED - MARIKITI,15000.0,1,1,1,15000.0,0.46472457627118646
OPTICA LIMITED - MOI AVENUE,129855.0,13,13,13,9988.846153846154,0.6531779661016949
OPTICA LIMITED - MOMBASA,166324.0,14,14,14,11880.285714285714,0.6984110169491525
OPTICA LIMITED - NAKUMATT JUNCTION,36374.5,4,4,4,9093.625,0.48495762711864404
OPTICA LIMITED - NAKURU,137213.0,14,14,14,9800.92857142857,0.6570974576271187
OPTICA LIMITED - NANYUKI MALL,17500.0,1,1,1,17500.0,0.4774364406779661
OPTICA LIMITED - NAROK,11662.5,2,2,2,5831.25,0.3070974576271186
OPTICA LIMITED - NEXTGEN MALL,45638.0,4,4,4,11409.5,0.5411016949152542
OPTICA LIMITED - NYALI,5850.0,1,1,1,5850.0,0.2518008474576271
OPTICA LIMITED - NYERI,21000.0,2,2,2,10500.0,0.4522245762711864
OPTICA LIMITED - ONE STOP ARCADE,7500.0,1,1,1,7500.0,0.30052966101694917
OPTICA LIMITED - OPTICA HOUSE,108515.25,12,12,12,9042.9375,0.610593220338983
OPTICA LIMITED - RUAI,21180.5,3,3,3,7060.166666666667,0.3905720338983051
OPTICA LIMITED - RUBIS NGONG,15750.0,2,2,2,7875.0,0.3717161016949153
OPTICA LIMITED - Signature Mall,29362.5,3,3,5,9787.5,0.5058262711864406
OPTICA LIMITED - T SQUARE,11812.5,2,2,2,5906.25,0.3113347457627118
OPTICA LIMITED - T-MALL,57421.5,7,7,7,8203.07142857143,0.5198093220338983
OPTICA LIMITED - THE NORD RUIRU,27863.0,4,4,4,6965.75,0.42139830508474574
OPTICA LIMITED - THIKA,16335.0,2,2,2,8167.5,0.38125
OPTICA LIMITED - TUFF FOAM MALL KISUMU,15000.0,1,1,1,15000.0,0.46472457627118646
OPTICA LIMITED - TWO RIVERS,5887.5,1,1,1,5887.5,0.2528601694915254
OPTICA LIMITED - VILLAGE MARKET,8551.0,2,1,3,4275.5,0.2416313559322034
OPTICA LIMITED - WATERFRONT,9975.0,1,1,1,9975.0,0.38103813559322036
OPTICA LIMITED - WESTLANDS SQUARE,14062.0,1,1,1,14062.0,0.4498940677966102
OPTICA LIMITED- KMALL,14450.0,1,1,1,14450.0,0.4551906779661017
OPTICA LIMITED- NANYUKI,5962.5,1,1,1,5962.5,0.254978813559322
OPTICA LIMITED- RONGAI,13312.5,1,1,1,13312.5,0.44247881355932206
OPTICA LIMITED- THIKA ROAD MALL,20512.5,2,2,2,10256.25,0.44375
OPTICA LTD - THIKA BAZAAR,14325.0,2,2,2,7162.5,0.35052966101694916
